                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.65002,                0.49532,                0.97143,                0.87865,                0.86017,                0.91499,                  0.749,                0.85769,                0.65486,                 1.0639,             0.00017609,             0.00017609,             0.00017609
                     70,                0.65382,                0.50021,                0.97238,                0.86261,                0.86689,                0.91399,                0.75249,                 0.8594,                0.65183,                 1.0575,             0.00016234,             0.00016234,             0.00016234
                     71,                0.57247,                0.41189,                0.91336,                0.85534,                0.86372,                0.90476,                0.74435,                0.85185,                 0.6976,                 1.0678,              0.0001486,              0.0001486,              0.0001486
                     72,                0.57836,                0.40307,                0.91562,                0.88992,                0.85214,                0.91332,                0.74713,                0.85236,                0.65418,                 1.0707,             0.00013485,             0.00013485,             0.00013485
                     73,                0.55955,                0.38186,                0.90494,                0.87981,                0.86744,                0.92333,                0.75519,                0.85248,                0.64226,                 1.0647,              0.0001211,              0.0001211,              0.0001211
                     74,                0.56431,                0.37725,                0.90735,                0.87057,                0.88032,                0.92173,                0.75773,                0.84133,                0.63251,                 1.0525,             0.00010735,             0.00010735,             0.00010735
                     75,                0.54352,                0.36035,                0.89715,                0.88961,                0.87158,                0.92219,                0.76111,                0.84323,                0.62551,                  1.062,             9.3602e-05,             9.3602e-05,             9.3602e-05
                     76,                0.53973,                  0.353,                0.90344,                0.88413,                0.87283,                0.92247,                0.76342,                0.85373,                0.63022,                 1.0667,             7.9853e-05,             7.9853e-05,             7.9853e-05
                     77,                0.54407,                0.36154,                0.89823,                0.89759,                0.86176,                0.91862,                 0.7594,                0.85549,                0.63236,                 1.0674,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     78,                 0.5381,                0.35553,                0.89091,                0.89689,                0.86717,                0.91633,                0.75712,                0.84604,                0.63424,                 1.0623,             5.2356e-05,             5.2356e-05,             5.2356e-05
                     79,                0.52673,                0.34363,                0.89652,                0.90653,                0.86058,                 0.9181,                0.75794,                0.84882,                0.62825,                 1.0674,             3.8607e-05,             3.8607e-05,             3.8607e-05
                     80,                0.53371,                0.34591,                0.89801,                0.90466,                0.86679,                0.91699,                0.75983,                0.85174,                0.63148,                 1.0701,             2.4859e-05,             2.4859e-05,             2.4859e-05
